id,name,specialization_id
255,Gépszerelő,18
256,Gumiszerelő,18
257,Heggesztő,18
258,Hentes,18
259,Hostess,18
260,Host,18
261,Animátor,18
262,Ipari alpinista,18
263,Karbantartó,18
264,Karosszéria lakatos,18
265,Karosszéri fényező,18
266,Kárpitos,18
267,Kertész,18
268,Klímaszerelő,18
269,Kőműves,18
270,Kötött sínpályás vezető,18
271,Lakatos,18
272,Géplakatos,18
273,Manikűr,18
274,Pedikűr,18
275,Masszőr,18
276,Műszerész,18
277,Nyomdász,18
278,Raktáros,18
279,Szakács,18
280,Villanyszerelő,18
281,Virágkötő,18
282,Víz- gáz- fűtésszerelő,18
283,Anyaggazdálkodás,19
284,Beszerzés,19
285,Flottakezelő,19
286,Légi közlekedés,19
287,Logisztika ügyintéző,19
288,Fuvarszervező,19
289,ProjektMenedzsment,19
290,Szállítmányozó,19
291,Személyszállító,19
292,Teherszállítő,19
293,Vámügyintéző,19
294,Diszpécser,20
295,Kárszakértő,20
296,Kintlévőség kezelő,20
297,Online ügyfélszolgálat,20
298,Személyes ügyfélszolgálat,20
299,Telefonos ügyfélszolgálat,20
300,Vevőszolgálat,20
301,Animátor,21,
302,Éttermi vendéglátás,21
303,HACCP szakértő,21
304,Hajós munka,21
305,Idegenvezető,21
306,Közétkeztetés,21
307,Légi utaskisérő,21
308,Szállodai recepciós,21
309,Turizmus,21
